distance,latitude,longitude,yaw,heading,delta,precision
170.53446335105994,38.94251300529079,-92.31963550853071,63.99,146.20121593958658,210.19121593958658,2
165.48245792359705,38.94251842564177,-92.31951500109,63.97,149.31754910092712,213.28754910092712,2
165.19869887747203,38.94251875096772,-92.31950784548175,63.98,149.5085449548152,213.48854495481518,2
165.1428934964819,38.94251880849182,-92.31950644740601,63.98,149.54582052649982,213.5258205264998,2
165.13181819882394,38.94251882242255,-92.31950616425034,63.99,149.55341768556048,213.54341768556048,2
165.12990651674247,38.94251882902024,-92.31950610619629,63.99,149.55504856690123,213.54504856690124,2
165.16172912744932,38.94251880241615,-92.31950689031098,68.6,149.53424663275666,218.13424663275666,2
165.4085054631821,38.942518643428144,-92.31951285140413,62.61,149.377214688874,211.98721468887402,2
165.88359893408565,38.94251880667529,-92.31952324123554,55.24,149.1133226816935,204.3533226816935,2
166.4883502903534,38.94251977155718,-92.31953474581351,37.61,148.83841561158602,186.44841561158603,2
167.16067708806173,38.942522114443435,-92.31954476324617,6.93,148.630510160117,155.56051016011702,2
167.72111266427808,38.942525159979674,-92.31955078441118,-41.56,148.5388388225589,106.97883882255888,2
168.24501740712188,38.942529889619735,-92.31955245121797,-74.55,148.59043858693224,74.04043858693224,2
168.65446637226538,38.9425350492496,-92.31955065950488,-107.67,148.73694438774533,41.06694438774532,2
168.7843044632878,38.94253791657387,-92.319547469547,-140.48,148.87316787637076,8.393167876370768,2
168.6750352338632,38.94253848178999,-92.3195438159376,-171.65,148.97608596503028,-22.673914034969727,2
168.51331333717,38.94253799289883,-92.31954123111994,-167.72,149.0316963183531,-18.688303681646886,2
168.49692844899937,38.94253835155419,-92.31954009379318,-132.51,149.06735416537288,16.557354165372885,2
168.65087200529362,38.9425395149274,-92.31954106061956,-87.28,149.0655775283435,61.78557752834351,2
168.8286044609809,38.94254014006134,-92.31954371550962,-38.8,149.0108641017448,110.2108641017448,2
168.9330890182652,38.94254012948504,-92.31954608253187,-39.73,148.951136923719,109.221136923719,2
168.96721098948285,38.942540421718846,-92.31954622337683,-81.78,148.9532813028843,67.1732813028843,2
168.87681311091208,38.94254044808955,-92.3195441387348,-119.33,149.00620117304055,29.676201173040553,2
168.74992044904903,38.94254008425002,-92.31954206701108,-115.31,149.05127780635405,33.74127780635405,2
168.77601688854756,38.94254035703169,-92.31954206885959,-73.18,149.0565267225761,75.8765267225761,2
168.88517276029728,38.94254051643347,-92.31954418016706,-30.34,149.00648669130754,118.66648669130754,2
168.95768625741871,38.942540216079585,-92.3195464489936,-35.01,148.94361301881338,113.93361301881339,2
168.99359955550997,38.942540349376706,-92.31954696928085,-53.39,148.93313607946845,95.54313607946845,2
169.01226020458944,38.94254049971342,-92.31954706656434,-53.42,148.93361729784613,95.51361729784612,2
